Timestamp :),Title,"First Author (Last, First) (no middle initials)",Publication Date (YYYY-MM),"Reviewer (your name, First Last i.e. Meghan Cum)","Verifier (name, good or bad)","Meets the sufficient criteria: uses mice or rats, is not a review or protocol paper, tests for social memory/recognition/discrimination",Species,Wild Rodents Used? (like literally caught from the wild),Subject Strain  (i.e. C57BL6J or Sprague-Dawley) if multiple strains were used separate them by a semi colon and if mixed state mixed i.e. 129/SvJ mixed C57BL/6J; 129/SvJ mixed Swiss black,Final Strain,Subject Type,Subject Age,Subject Sex,Subject Housing,"Social Agent: degree of familiarity (if subject is exposed to a social agent ONLY twice, each trial being 5 or less minutes, the degree of familiarity is 5 min or less, NOT the total time exposed to the social agent) ",Was odor used?,Subject Social Rank,Intertrial Interval (ITI) (time between trials),Social Agent Strain ,Social Agent Age (check all that apply),Social Agent Sex,"If female, ovariectiomized?",Social Agent Identity,Social Agent Housing,Social Agent Rank,Social Agent Type,Social Discrimination Tested? i.e. novel and familiar social agents presented at the *same time* to the subject,Additional novel social agent used at all? ,Qualities Shared w/ Subject Mouse (i.e. same age between social agents and subject) [Social Agent],Do you have questions on this paper/should Meghan look this one over? ,"If you answered yes to the previous question, what concerns/questions did you have specifically on this paper? "
4/27/2022 22:40:01,Reduced GluN1 in mouse dentate gyrus is associated with CA3 hyperactivity and psychosis-like behaviors,"Segev, Amir",2020-11,Ezra Wright,"Ezra, good",yes,Mice,no,C57BL/6,C57BL/6,both,"young adult (8-12 weeks), adult (12-24 weeks)",Male,group-housed,5 min exposure or less,animals always present,Does not specify,over 6 hr - 24 hr,C57BL/6J,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),no,No,"Sex, Strain, Housing History","No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 11:31:12,Increased Endocannabinoid Signaling Reduces Social Motivation in Intact Rats and Does Not Affect Animals Submitted to Early-Life Seizures,"Ribeiro, Fernanda",2020-12,Ezra Wright,,yes,Rats,no,Wistar,Wistar,WT (wild type),juvenile (3-7 weeks or week not specified),Male,group-housed,"5 min exposure or less, 6 minutes, 10 minutes",animals always present,Does not specify,not specified,Wistar,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),yes,No,"Age, Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 11:39:22,Long-lasting pseudo-social aggressive behavior in opiate-withdrawn mice,"Piccin, Alessandro",2020-03,Ezra Wright,,yes,Mice,no,C57BL/6J,C57BL/6,WT (wild type),"young adult (8-12 weeks), adult (12-24 weeks)",Male,group-housed,10 minutes,animals always present,Does not specify,not specified,C57BL/6J,"young adult (8-12 weeks), adult (12-24 weeks)",always male,,adult male,group-housed,Does not specify,WT (wild type),yes,No,"Age, Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 11:59:24,Uremic Toxic Blood-Brain Barrier Disruption Mediated by AhR Activation Leads to Cognitive Impairment during Experimental Renal Dysfunction,"Bobot, Mickael",2020-07,Ezra Wright,,yes,Rats,no,Sprague-Dawley,Sprague Dawley,WT (wild type),juvenile (3-7 weeks or week not specified),Male,group-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Sprague-Dawley,juvenile (3-7 weeks or week not specified),always male,,juvenile male,group-housed,Does not specify,WT (wild type),no,No,"Age, Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 13:09:48,Retinoid X Receptor α Regulates DHA-Dependent Spinogenesis and Functional Synapse Formation In Vivo,"Cao, Huateng",2020-05,Ezra Wright,,yes,Mice,no,C57BL/6 ,C57BL/6,"transgenic (Cre or Flp line, KO line)","adult (8-10 weeks), adult (12-24 weeks)",Male,group-housed,5 min exposure or less,animals always present,Does not specify,not specified,C57BL/6J,juvenile (3-7 weeks or week not specified),always male,,juvenile male,group-housed,Does not specify,WT (wild type),yes,Yes,"Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 13:50:08,Neonatal exposure to sevoflurane induces abnormal social behaviors and deficits in fear conditioning in Mice,"Satomoto, Maiko",2009-03,Erika Wangia,,yes,Mice,no,C57BL/6,C57BL/6,WT (wild type),adult (12-24 weeks),Male,"group-housed, singly-housed",5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,C57BL/6,Does not specify,"opposite sex as subject, always female",No,not specified intact female,group-housed,Does not specify,WT (wild type),yes,Yes,"Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 14:11:45,Dimebolin is a 5-HT6 antagonist with acute cognition enhancing activities,"Schaffhauser, Herve",2009-10,Erika Wangia,,yes,Rats,no,Sprague-Dawley,Sprague Dawley,WT (wild type),adult (week not specified),Male,Does not specify,5 min exposure or less,animals always present,Does not specify,"over 5 min - less than an hour, 1-6 hr",Sprague-Dawley,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),no,No,"Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 14:19:18,Facilitation of short-term memory by histaminergic neurons in the nucleus accumbens is independent of cholinergic and glutamatergic transmission,"Kraus, M. M.",2013-08,Meghan Cum,,yes,Rats,no,Sprague-Dawley,Sprague Dawley,WT (wild type),"adult (12-24 weeks), adult (24-40 weeks)",Male,singly-housed,10 minutes,animals always present,Does not specify,1-6 hr,Does not specify ,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,"group-housed, singly-housed for more than a few hours and less than a week",Does not specify,WT (wild type),no,Yes,"Sex, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 14:34:09,A hypothalamic novelty signal modulates hippocampal memory,"Chen, Shuo",2020-09,Ezra Wright,,yes,Mice,no,C57BL/6,C57BL/6,"transgenic (Cre or Flp line, KO line)","young adult (8-12 weeks), adult (12-24 weeks)",Male,Does not specify,5 min exposure or less,animals always present,Does not specify,1-6 hr,C57BL/6J,"young adult (8-12 weeks), adult (12-24 weeks)","same sex as subject, always male",,adult male,Does not specify,Does not specify,"transgenic (Cre-mouse line, KO mouse line)",no,Yes,"Age, Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 14:35:54,Isolation rearing induces social and emotional function abnormalities and alters glutamate and neurodevelopment-related gene expression in rats,"Zhao, Xiaohong",2009-10,Erika Wangia,,yes,Rats,no,Sprague-Dawley,Sprague Dawley,WT (wild type),infant (0-21 days),Male,"group-housed, singly-housed",5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Sprague-Dawley,Does not specify,"same sex as subject, always male",,not specified male,Does not specify,Does not specify,WT (wild type),yes,Yes,"Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 14:45:49,Loss-of-function mutation in Mirta22/Emc10 rescues specific schizophrenia-related phenotypes in a mouse model of the 22q11.2 deletion,"Diamantopoulou, Anastasia",2017-07,Ryo Iwata,"Leo, good",yes,Mice,no,C57BL/6J,C57BL/6,both,young adult (8-12 weeks),Male,group-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,C57BL/6J,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),no,Yes,"Sex, Strain","No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 14:46:12,"A Novel Potent and Selective Histamine H3 Receptor Antagonist Enerisant: In Vitro Profiles, In Vivo Receptor Occupancy, and Wake-Promoting and Procognitive Effects in Rodents","Hino, Noriko",2020-11,Ezra Wright,,yes,Rats,no,Sprague-Dawley,Sprague Dawley,WT (wild type),young adult (8-12 weeks),Male,Does not specify,5 min exposure or less,animals always present,Does not specify,"over 5 min - less than an hour, 1-6 hr",Sprague-Dawley,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),no,No,"Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 15:03:56,Repetitive Concussive Traumatic Brain Injury Interacts with Post-Injury Foot Shock Stress to Worsen Social and Depression-Like Behavior in Mice,"Klemenhagen, Kristen",2013-09,Meghan Cum,,yes,Mice,no,C57Bl/6J,C57BL/6,WT (wild type),young adult (8-12 weeks),Male,group-housed,8 minutes,animals always present,Does not specify,1-5 minutes,C57Bl/6J,young adult (8-12 weeks),"same sex as subject, always male",,adult male,group-housed,Does not specify,WT (wild type),no,Yes,"Age, Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 15:04:04,Behavioral changes in mice lacking interleukin-33,"Dohi, Eisuke ",2017-12,Ryo Iwata,"Leo, good",yes,Mice,no,C57BL/6J,C57BL/6,both,young adult (8-12 weeks),Male,Does not specify,10 minutes,animals always present,Does not specify,not specified,Does not specify,young adult (8-12 weeks),"same sex as subject, always male",,adult male,Does not specify,Does not specify,WT (wild type),yes,Yes,"Age, Sex","No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 15:16:34,Antiamnesic activity of leaves of Bambusa arundinacea in rats,"Jawaid, Talha",2013-11,Meghan Cum,,yes,Rats,no,Wistar,Wistar,WT (wild type),young adult (8-12 weeks),Male,singly-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Does not specify,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,Does not specify,Does not specify,WT (wild type),no,No,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 15:51:21,Chronic minocycline treatment improves social recognition memory in adult male Fmr1 knockout mice,"Yau, Suk",2016-10,Jocelyn Santiago Perez,,yes,Mice,no,C57BL/6J,C57BL/6,both,adult (week not specified),Male,group-housed,10 minutes,animals always present,Does not specify,not specified,Does not specify,young adult (8-12 weeks),"opposite sex as subject, always female",Yes,ovariectomized female,singly-housed,Does not specify,WT (wild type),yes,Yes,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 15:55:38,Constitutive and Acquired Serotonin Deficiency Alters Memory and Hippocampal Synaptic Plasticity,"Fernandez, Sebastian",2017-07,Ryo Iwata,"Leo, good",yes,Mice,no,C57Bl/6,C57BL/6,both,young adult (8-12 weeks),Male,group-housed,5 min exposure or less,animals always present,Does not specify,not specified,C57BL/6J,adult (week not specified),"same sex as subject, always male",,adult male,Does not specify,Does not specify,WT (wild type),yes,Yes,Sex,"No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 16:06:27,Stimulation of Metabotropic Glutamate (mGlu) 2 Receptor and Blockade of mGlu1 Receptor Improve Social Memory Impairment Elicited by MK-801 in Rats,"Hikichi, Hirohiko",2013-02,Meghan Cum,,yes,Rats,no,Sprague-Dawley,Sprague Dawley,WT (wild type),adult (week not specified),Male,group-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Wistar,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),no,No,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 17:50:43,Phospholipase D1 Ablation Disrupts Mouse Longitudinal Hippocampal Axis Organization and Functioning,"Santa-Marinha, Luisa",2020-03,Ezra Wright,,yes,Mice,no,C57BL/6,C57BL/6,"transgenic (Cre or Flp line, KO line)",adult (12-24 weeks),Male,Does not specify,"10 minutes, littermate",animals always present,Does not specify,"not specified, no ITI",C57BL/6,adult (12-24 weeks),"same sex as subject, always male",,adult male,Does not specify,Does not specify,WT (wild type),yes,No,"Age, Sex, Strain","No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 19:26:31,Effects of acute administration of the hydroalcoholic extract of mate tea leaves (Ilex paraguariensis) in animal models of learning and memory,"Prediger, Rue",2008-12,Ezra Wright,,yes,Rats,no,Wistar,Wistar,WT (wild type),adult (12-24 weeks),Male,singly-housed,5 min exposure or less,animals always present,Does not specify,1-6 hr,Wistar,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),no,No,"Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 20:12:18,"The melanin-concentrating hormone1 receptor antagonists, SNAP-7941 and GW3430, enhance social recognition and dialysate levels of acetylcholine in the frontal cortex of rats","Millan, Mark",2008-12,Ezra Wright,,yes,Rats,no,Wistar,Wistar,WT (wild type),adult (week not specified),Male,"group-housed, singly-housed for more than a few hours and less than a week",5 min exposure or less,animals always present,Does not specify,"no ITI, 1-6 hr",Wistar,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),no,No,"Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 20:37:58,The stop null mice model for schizophrenia displays cognitive and social deficits partly alleviated by neuroleptics,"Begou, Melina",2008-08,Ezra Wright,,yes,Mice,no,BALBc/129 Sv,mix,both,adult (12-24 weeks),Male,"group-housed, singly-housed",5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,BALBc/129 Sv,adult (12-24 weeks),"same sex as subject, always male",,adult male,group-housed,Does not specify,WT (wild type),no,No,"Age, Sex, Strain","No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 21:15:03,Temporal lobe epilepsy and social behavior: An animal model for autism?,"Marin, Joao Carlos",2008-07,Ezra Wright,,yes,Rats,no,Wistar,Wistar,WT (wild type),adult (24-40 weeks),Male,group-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Wistar,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),yes,No,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 22:07:47,"Aβ(1–42) injection causes memory impairment, lowered cortical and serum BDNF levels, and decreased hippocampal 5-HT2A levels","Christensen, R",2008-03,Ezra Wright,,yes,Rats,no,Wistar,Wistar,WT (wild type),adult (week not specified),Male,group-housed,5 min exposure or less,animals always present,Does not specify,"1-6 hr, over 24 hrs",Wistar,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),no,No,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/29/2022 9:45:21,Modulation of glycine sites enhances social memory in rats using PQQ combined with d-serine,"Zhou, Xingqin",2016-07,Jocelyn Santiago Perez,,No,Rats,no,Sprague-Dawley rats,Sprague Dawley,WT (wild type),adult (week not specified),Male,Does not specify,5 min exposure or less,animals always present,Does not specify,1-6 hr,Sprague-Dawley rats,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),no,No,"Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/29/2022 9:52:55,Major neurotransmitter systems in dorsal hippocampus and basolateral amygdala control social recognition memory,"Garrido Zinn, Carolina",2016-08,Jocelyn Santiago Perez,,yes,Rats,no,Wistar rats,Wistar,WT (wild type),adult (12-24 weeks),Male,group-housed,60 minutes,animals always present,Does not specify,over 6 hr - 24 hr,Wistar rats,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),yes,Yes,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/29/2022 10:22:01,Hippocampal overexpression of NOS1AP promotes endophenotypes related to mental disorders,"Freudenberg, Florian",2021-09,Erika Wangia,"Naeliz, bad",yes,Mice,no,C57BL/6JRj,C57BL/6,WT (wild type),adult (12-24 weeks),Male,Does not specify,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,C57BL/6JRj,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,Does not specify,Does not specify,WT (wild type),yes,Yes,"Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.","I changed the degree of familia's, and qualities shared I unchecked 'sex'"
4/29/2022 10:36:43,Pro-cognitive effects of 5-HT6 receptor antagonists in the social recognition procedure in rats: implication of the frontal cortex,"Loiseau, Florence",2008-01,Ezra Wright,,yes,Rats,no,Wistar,Wistar,WT (wild type),adult (week not specified),Male,"group-housed, singly-housed for more than a few hours and less than a week",5 min exposure or less,animals always present,Does not specify,"no ITI, 1-6 hr",Wistar,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),no,No,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/29/2022 12:09:19,Protective effects of octylseleno-xylofuranoside in a streptozotocin-induced mouse model of Alzheimer's disease,"Baldinotti, Rodolfo",2021-11,Erika Wangia,,yes,Mice,no,Swiss,Swiss,WT (wild type),adult (12-24 weeks),Male,Does not specify,5 min exposure or less,animals always present,Does not specify,1-6 hr,Does not specify,infant (0-21 days),"same sex as subject, always male",,infant male,Does not specify,Does not specify,WT (wild type),no,No,"Sex, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/29/2022 12:38:36,Correction of vasopressin deficit in the lateral septum ameliorates social deficits of mouse autism model,"Borie, Amelie",2021-05,Erika Wangia,,yes,Mice,no,C57B6/J,C57BL/6,both,adult (12-24 weeks),Male,group-housed,15 minutes,animals always present,Does not specify,over 5 min - less than an hour,Does not specify,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),yes,Yes,Sex,"No, I feel confident, and I double-checked all my answers before submitting.",
4/29/2022 13:41:21,Ketamine reversed short-term memory impairment and depressive-like behavior in animal model of Parkinson's disease,"Vecchia, Debora",2021-03,Erika Wangia,,yes,Rats,no,Wistar,Wistar,WT (wild type),adult (12-24 weeks),Male,group-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Does not specify,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,Does not specify,Does not specify,WT (wild type),no,No,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
4/29/2022 13:49:31,Long-lasting second stage of recognition memory consolidation in mice,"Wanisch, Klaus",2008-01,Ezra Wright,,yes,Mice,no,C57BL/6JOlaHsd,C57BL/6,WT (wild type),adult (12-24 weeks),Male,group-housed,5 min exposure or less,animals always present,Does not specify,over 24 hrs,Does not specify,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),yes,No,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/29/2022 14:27:55,Pharmacological Properties of ABT-239 [4-(2-{2-[(2R)-2-Methylpyrrolidinyl]ethyl}-benzofuran-5-yl)benzonitrile]: II. Neurophysiological Characterization and Broad Preclinical Efficacy in Cognition and Schizophrenia of a Potent and Selective Histamine H3 Receptor Antagonist,"Fox, Gerard",2005-04,Naeliz Lopez,,yes,Rats,no,Sprague-Dawley,Sprague Dawley,WT (wild type),adult (24-40 weeks),Male,Does not specify,5 min exposure or less,animals always present,Does not specify,"over 5 min - less than an hour, 1-6 hr",Sprague-Dawley,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),no,Yes,"Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/29/2022 14:31:35,Central relaxin-3 receptor (RXFP3) activation impairs social recognition and modulates ERK-phosphorylation in specific GABAergic amygdala neurons,"Albert-Gasco, Hector",2019-10,Amelia Chambers,"Meghan, bad",yes,Rats,no,Wistar ,Wistar,WT (wild type),adult (week not specified),Male,Does not specify,5 min exposure or less,animals always present,Does not specify,1-6 hr,Does not specify,Does not specify,Does not specify,,does not specify,Does not specify,Does not specify,WT (wild type),yes,Yes,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
4/29/2022 14:39:00,The V1a Vasopressin Receptor Is Necessary and Sufficient for Normal Social Recognition: A Gene Replacement Study,"Bielsky, Isadora",2005-08,Naeliz Lopez,,yes,Mice,no,C57/BL6,C57BL/6,both,"young adult (8-12 weeks), adult (12-24 weeks)",Male,singly-housed,5 min exposure or less,animals always present,Does not specify,"over 5 min - less than an hour, 1-6 hr, over 6 hr - 24 hr",Does not specify,adult (week not specified),"opposite sex as subject, always female",Yes,ovariectomized female,"group-housed, singly-housed",Does not specify,WT (wild type),yes,Yes,Housing History,"No, I feel confident, and I double-checked all my answers before submitting.",
4/29/2022 17:47:29,Acute treatment with TrkB agonist LM22A-4 confers neuroprotection and preserves myelin integrity in a mouse model of pediatric traumatic brain injury,"Fletcher, Jessica",2021-05,Erika Wangia,,yes,Mice,no,C57BL/6J,C57BL/6,WT (wild type),juvenile (3-7 weeks or week not specified),Male,singly-housed,10 minutes,animals always present,Does not specify,no ITI,Does not specify,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),yes,Yes,"Age, Sex, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/29/2022 18:02:22,"Effect of QTC-4-MeOBnE Treatment on Memory, Neurodegeneration, and Neurogenesis in a Streptozotocin-Induced Mouse Model of Alzheimer's Disease","Fronza, Mariana",2020-12,Erika Wangia,,yes,Mice,no,Swiss,Swiss,WT (wild type),adult (12-24 weeks),Male,Does not specify,5 min exposure or less,animals always present,Does not specify,1-6 hr,Does not specify,infant (0-21 days),"same sex as subject, always male",,infant male,Does not specify,Does not specify,WT (wild type),no,No,"Sex, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/30/2022 11:41:22,Complete Elimination of Peripheral Auditory Input Before Onset of Hearing Causes Long-Lasting Impaired Social Memory in Mice,"Guo, Rui",2021-07,Erika Wangia,,yes,Mice,no,C57BL/6J,C57BL/6,both,"infant (0-21 days), young adult (8-12 weeks), adult (24-40 weeks)",Male,Does not specify,10 minutes,animals always present,Does not specify,no ITI,C57BL/6J,"infant (0-21 days), young adult (8-12 weeks), adult (24-40 weeks)","same sex as subject, always male",,"infant male, adult male",Does not specify,Does not specify,WT (wild type),yes,Yes,"Age, Sex, Strain","No, I feel confident, and I double-checked all my answers before submitting.",
4/30/2022 11:57:38,Pharmacological modulation of AMPA receptors rescues specific impairments in social behavior associated with the A350V Iqsec2 mutation,"Jabarin, Renad",2021-04,Erika Wangia,,yes,Mice,no,C57BL/6J,C57BL/6,both,young adult (8-12 weeks),Male,group-housed,5 min exposure or less,animals always present,Does not specify,not specified,C57BL/6J,"juvenile (3-7 weeks or week not specified), adult (week not specified)",Uses both,No,"juvenile male, adult male, adult intact female","group-housed, singly-housed",Does not specify,WT (wild type),yes,Yes,Strain,"No, I feel confident, and I double-checked all my answers before submitting.",
4/30/2022 12:13:27,Pain-induced aggression and changes in social behavior in mice,"Khosravi, Hatef",2021-07,Erika Wangia,,yes,Mice,no,Swiss,Swiss,WT (wild type),adult (12-24 weeks),Male,group-housed,10 minutes,animals always present,Does not specify,not specified,Does not specify,Does not specify,"same sex as subject, always male",,not specified male,Does not specify,Does not specify,WT (wild type),yes,Yes,"Sex, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/30/2022 12:37:56,Cannabinoid Receptor 2 Alters Social Memory and Microglial Activity in an Age-Dependent Manner ,"Komorowska-Muller, Joanna",2021-10,Erika Wangia,,yes,Mice,no,C57BL/6J,C57BL/6,both,"adult (12-24 weeks), old (+40 weeks)",Male,singly-housed,9 minutes,animals always present,Does not specify,"over 5 min - less than an hour, 1-6 hr",C57BL6/J,young adult (8-12 weeks),"same sex as subject, always male",,adult male,Does not specify,Does not specify,WT (wild type),no,No,"Sex, Strain","No, I feel confident, and I double-checked all my answers before submitting.",
4/30/2022 13:13:53,Acute social isolation and regrouping cause short- and long-term molecular changes in the rat medial amygdala,"Lavenda-Grosberg, Danit",2021-10,Erika Wangia,,yes,Rats,no,Sprague Dawley; Wistar-Hola,"Sprague Dawley, Wistar",WT (wild type),"young adult (8-12 weeks), Does not specify",Male,"group-housed, singly-housed",5 min exposure or less,animals always present,Does not specify,over 6 hr - 24 hr,Does not specify,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),yes,Yes,"Sex, Type (WT vs transgenic)","Yes, this one was tricky.",I am unsure which strain is being used as the social agent here.
4/30/2022 13:21:21,Enkephalin release from VIP interneurons in the hippocampal CA2/3a region mediates heterosynaptic plasticity and social memory,"Leroy, Felix",2021-05,Erika Wangia,,yes,Mice,no,C57BL6/J,C57BL/6,both,"juvenile (3-7 weeks or week not specified), young adult (8-12 weeks)",Male,Does not specify,"5 min exposure or less, 6 minutes",animals always present,Does not specify,over 5 min - less than an hour,C57BL6/J,Does not specify,Uses both,Yes,"ovariectomized female, not specified male",group-housed,Does not specify,WT (wild type),yes,Yes,Strain,"No, I feel confident, and I double-checked all my answers before submitting.",
4/30/2022 13:48:39,"LOTUS, an endogenous Nogo receptor antagonist, is involved in synapse and memory formation","Nishida, Ryohei",2021-03,Erika Wangia,,yes,Mice,no,C57BL/6J,C57BL/6,both,young adult (8-12 weeks),Male,Does not specify,5 min exposure or less,animals always present,Does not specify,over 6 hr - 24 hr,Does not specify,"infant (0-21 days), juvenile (3-7 weeks or week not specified)","same sex as subject, always male",,"infant male, juvenile male,",Does not specify,Does not specify,WT (wild type),no,No,Sex,"No, I feel confident, and I double-checked all my answers before submitting.",
4/30/2022 14:11:27,Different cholinergic cell groups in the basal forebrain regulate social interaction and social recognition memory,"Okada, Kana",2021-06,Erika Wangia,,yes,Mice,no,C57BL/6J,C57BL/6,both,young adult (8-12 weeks),Male,group-housed,10 minutes,animals always present,Does not specify,1-5 minutes,C57BL/6J,young adult (8-12 weeks),"same sex as subject, always male",,adult male,Does not specify,Does not specify,WT (wild type),yes,Yes,"Age, Sex, Strain","No, I feel confident, and I double-checked all my answers before submitting.",
4/30/2022 15:06:49,Septal cholinergic input to CA2 hippocampal region controls social novelty discrimination via nicotinic receptor-mediated disinhibition,"Pimpinella, Domenico",2021-10,Erika Wangia,,yes,Mice,no,C57BL/6 mixed 129,C57BL/6 mix,both,juvenile (3-7 weeks or week not specified),Male,group-housed,10 minutes,animals always present,Does not specify,1-6 hr,C57BL7/6J,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),yes,Yes,Sex,"No, I feel confident, and I double-checked all my answers before submitting.",
4/30/2022 15:21:50,Complement-associated loss of CA2 inhibitory synapses in the demyelinated hippocampus impairs memory,"Ramaglia, Valeria",2021-06,Erika Wangia,,yes,Mice,no,C57BL/6,C57BL/6,WT (wild type),adult (12-24 weeks),Male,group-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Does not specify,Does not specify,"same sex as subject, always male",,not specified male,Does not specify,Does not specify,WT (wild type),yes,Yes,"Sex, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
